utilities/grid/fl-col.css,0.3,unprocessed,low,0,low,13-15
utilities/margins.css,0.2,unprocessed,low,0,low,13-15
utilities/opacity.css,0.1,unprocessed,low,0,low,13-15
utilities/padding.css,0.2,unprocessed,low,0,low,13-15
utilities/position.css,0.2,unprocessed,low,0,low,13-15
utilities/positioning/center-absolute.css,0.1,unprocessed,low,0,low,13-15
utilities/responsive/breakpoints.css,1.3,unprocessed,low,0,low,13-15
utilities/responsive/visibility.css,0.8,unprocessed,low,0,low,13-15
utilities/typography/text-utilities.css,0.2,unprocessed,low,0,low,13-15
variables/colors.css,0.2,unprocessed,low,0,low,13-15
